geo,Name,State,Value,,
01001,Autauga,Alabama,228.7077057,,
01003,Baldwin,Alabama,145.2394812,,
01005,Barbour,Alabama,105.7553661,,
01007,Bibb,Alabama,219.6624802,,
01009,Blount,Alabama,179.8185574,,
01011,Bullock,Alabama,96.75271498,,
01013,Butler,Alabama,110.7055585,,
01015,Calhoun,Alabama,123.6342506,,
01017,Chambers,Alabama,186.0969303,,
01019,Cherokee,Alabama,153.9227777,,
01021,Chilton,Alabama,138.8555143,,
01023,Choctaw,Alabama,202.4784438,,
01025,Clarke,Alabama,65.57215639,,
01027,Clay,Alabama,90.0060326,,
01029,Cleburne,Alabama,133.3252839,,
01031,Coffee,Alabama,232.9105974,,
01033,Colbert,Alabama,102.8411648,,
01035,Conecuh,Alabama,193.6054319,,
01037,Coosa,Alabama,146.9457909,,
01039,Covington,Alabama,71.27230331,,
01041,Crenshaw,Alabama,76.20686305,,
01043,Cullman,Alabama,104.5118488,,
01045,Dale,Alabama,152.253342,,
01047,Dallas,Alabama,61.8683694,,
01049,De Kalb,Alabama,135.584204,,
01051,Elmore,Alabama,141.7842124,,
01053,Escambia,Alabama,177.8150866,,
01055,Etowah,Alabama,47.67473927,,
01057,Fayette,Alabama,138.077841,,
01059,Franklin,Alabama,142.3575611,,
01061,Geneva,Alabama,102.5052609,,
01063,Greene,Alabama,133.8115181,,
01065,Hale,Alabama,222.0058726,,
01067,Henry,Alabama,108.2292338,,
01069,Houston,Alabama,44.54826493,,
01071,Jackson,Alabama,210.3135683,,
01073,Jefferson,Alabama,64.10825493,,
01075,Lamar,Alabama,85.53292584,,
01077,Lauderdale,Alabama,140.719082,,
01079,Lawrence,Alabama,170.7409679,,
01081,Lee,Alabama,145.7239496,,
01083,Limestone,Alabama,203.1023606,,
01085,Lowndes,Alabama,99.98276574,,
01087,Macon,Alabama,167.897944,,
01089,Madison,Alabama,92.10119547,,
01091,Marengo,Alabama,76.60955307,,
01093,Marion,Alabama,177.6121993,,
01095,Marshall,Alabama,127.7906069,,
01097,Mobile,Alabama,175.9383216,,
01099,Monroe,Alabama,96.42772997,,
01101,Montgomery,Alabama,108.9810622,,
01103,Morgan,Alabama,215.2118717,,
01105,Perry,Alabama,100.4056912,,
01107,Pickens,Alabama,143.9860778,,
01109,Pike,Alabama,161.4572895,,
01111,Randolph,Alabama,168.0405843,,
01113,Russell,Alabama,185.0032007,,
01115,St Clair,Alabama,161.4670179,,
01117,Shelby,Alabama,129.162539,,
01119,Sumter,Alabama,149.0856462,,
01121,Talladega,Alabama,122.6602855,,
01123,Tallapoosa,Alabama,152.7907003,,
01125,Tuscaloosa,Alabama,158.1361151,,
01127,Walker,Alabama,229.8594277,,
01129,Washington,Alabama,213.7177193,,
01131,Wilcox,Alabama,254.2425128,,
01133,Winston,Alabama,47.96860096,,
02013,Aleutians East,Alaska,217.1182389,,
02016,Aleutians West,Alaska,130.0565593,,
02020,Anchorage,Alaska,145.4587975,,
02050,Bethel,Alaska,164.3007333,,
02060,Bristol Bay,Alaska,132.5176085,,
02068,Denali,Alaska,199.0747542,,
02070,Dillingham,Alaska,114.7873395,,
02090,Fairbanks North Star,Alaska,65.61604165,,
02100,Haines,Alaska,100.0343155,,
02110,Juneau,Alaska,37.54754496,,
02122,Kenai Peninsula,Alaska,209.8562612,,
02130,Ketchikan Gateway,Alaska,147.374864,,
02150,Kodiak Island,Alaska,199.3797808,,
02164,Lake and Peninsula,Alaska,178.5627821,,
02170,Matanuska Susitna,Alaska,150.8158101,,
02180,Nome,Alaska,223.4613998,,
02185,North Slope,Alaska,102.7380557,,
02188,Northwest Arctic,Alaska,89.95827321,,
02201,Prince Wales Ketchikan,Alaska,173.0943751,,
02220,Sitka,Alaska,189.1339777,,
02232,Skagway Hoonah Angoon,Alaska,129.9032632,,
02240,Southeast Fairbanks,Alaska,187.6898563,,
02261,Valdez Cordova,Alaska,142.2480433,,
02270,Wade Hampton,Alaska,149.5984928,,
02280,Wrangell Petersburg,Alaska,165.8405383,,
02282,Yakutat,Alaska,109.0454579,,
02290,Yukon Koyukuk,Alaska,121.4451595,,
04001,Apache,Arizona,118.0818082,,
04003,Cochise,Arizona,111.9465937,,
04005,Coconino,Arizona,89.79998243,,
04007,Gila,Arizona,151.1856947,,
04009,Graham,Arizona,120.7533265,,
04011,Greenlee,Arizona,126.7071182,,
04012,La Paz,Arizona,205.6280183,,
04013,Maricopa,Arizona,139.7022562,,
04015,Mohave,Arizona,214.0691427,,
04017,Navajo,Arizona,72.90259009,,
04019,Pima,Arizona,121.9384962,,
04021,Pinal,Arizona,128.0574279,,
04023,Santa Cruz,Arizona,110.3292316,,
04025,Yavapai,Arizona,114.2108553,,
04027,Yuma,Arizona,132.2139049,,
05001,Arkansas,Arkansas,98.06471328,,
05003,Ashley,Arkansas,118.6611835,,
05005,Baxter,Arkansas,71.25728444,,
05007,Benton,Arkansas,188.1166508,,
05009,Boone,Arkansas,168.682983,,
05011,Bradley,Arkansas,120.5877269,,
05013,Calhoun,Arkansas,89.85058808,,
05015,Carroll,Arkansas,244.1328438,,
05017,Chicot,Arkansas,103.7241236,,
05019,Clark,Arkansas,97.91633916,,
05021,Clay,Arkansas,205.7353508,,
05023,Cleburne,Arkansas,110.2755478,,
05025,Cleveland,Arkansas,140.5660385,,
05027,Columbia,Arkansas,32.63273917,,
05029,Conway,Arkansas,87.4441955,,
05031,Craighead,Arkansas,122.0229874,,
05033,Crawford,Arkansas,154.9037493,,
05035,Crittenden,Arkansas,163.1422385,,
05037,Cross,Arkansas,57.29887787,,
05039,Dallas,Arkansas,260.219594,,
05041,Desha,Arkansas,106.0275978,,
05043,Drew,Arkansas,162.2454006,,
05045,Faulkner,Arkansas,157.6590158,,
05047,Franklin,Arkansas,85.41298123,,
05049,Fulton,Arkansas,129.4041961,,
05051,Garland,Arkansas,229.35189,,
05053,Grant,Arkansas,43.56764622,,
05055,Greene,Arkansas,104.2725148,,
05057,Hempstead,Arkansas,106.6166969,,
05059,Hot Spring,Arkansas,110.8890412,,
05061,Howard,Arkansas,170.0140388,,
05063,Independence,Arkansas,116.3782643,,
